CarID,Coordinates,Speed
1,[468 482],9.05445457989683
5,[633 283],6.428138585527085
7,[540 304],5.096170722305604
8,[451 417],2.907393748737233
24,[470 216],3.143393979720593
34,[488 524],5.425465778853491
33,[451 475],1.7012058816753761
38,[451 204],2.0230101775609954
31,[651 462],9.676620946038726
36,[452 460],1.6812507582798717
56,[477 214],83.92970655129454
54,[471 255],1.9121136137309112
64,[605 484],1.8343326100754254
85,[492 485],5.054730957645332
86,[697 308],11.963113349008893
95,[879 412],30.96731071497029
96,[709 514],5.358909553220748
108,[840 401],17.9324256690682
112,[900 434],12.433621129479858
121,[702 513],0.8822752475729295
136,[468 493],2.3999739184246374
137,[596 347],3.4450380740956437
142,[533 312],3.4254850562166306
143,[804 423],1.7127425281083153
150,[469 220],3.912403306205088
152,[599 401],5.019084892527182
162,[600 229],0.9922600300897955
164,[471 263],1.5071605594767445
174,[440 458],2.6065168502381297
186,[656 503],6.4763384779581585
193,[665 491],41.13514193411715
194,[566 162],8.96752249714867
198,[475 263],2.8005579743457996
191,[456 476],0.5945731899469636
204,[776 338],35.09067024122152
207,[592 233],3.700883869968671
213,[667 309],8.42452418333618
220,[719 352],4.73831989188459
226,[902 497],2.639997790693722
241,[836 431],6.513612618804816
247,[551 199],1.2819702984342198
249,[714 470],4.3175049854432
252,[492 268],2.147360599934339
255,[523 298],3.4109554304780176
261,[473 238],0.8349334090254114
259,[453 439],0.6331155753066384
267,[530 299],3.001627760602412
270,[617 259],4.969873125641426
271,[492 254],1.8453698910076306
273,[495 177],4.418372861588231
276,[707 501],6.37943838634995
279,[570 218],21.2139960817064
280,[633 290],6.6789973454293605
284,[568 216],4.683309106307994
272,[492 460],3.0653717430503633
286,[645 372],2.9818913867113923
282,[478 251],1.6849113154812083
290,[572 205],3.2130129477951517
295,[701 338],16.689108983295334
302,[485 254],2.2158454972861104
292,[464 251],2.640428754218247
306,[453 211],1.9048370968564858
308,[473 231],2.14717771599186
309,[470 223],1.8267317898357847
